Early Morning,2 glass Luke Warm Water,,,,,,,,,,,,,
Morning Supp.,"Ashwagandha (max 500 gm), Vitamin E (evion 400), Shilajeet (Max 500gm - upto 1000mg)",,,,,,,,,,,,1 glass Milk - 240 ml,
Afternoon,Black Coffee,,,,,,,,,,,,,
Post Dinner,"Sea Code Liver Oil, Vitamin D3 - upto 5000 lu",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Masala-1,"HImalayan Pink Salt (3gm), Ginger, Garlic, Green Chilli, Jeera, Turmeric, Dhaniya Powder, Kitchen King Masala",,,,,,,,,,,,,
Masala-2,"HImalayan Pink Salt (3gm), Oregano, Chilli flakes, Black Pepper (Chaat Masala)",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,every month 1 week same diet from remission last 3/4/5 week's,,,,,,,,,,,,,
AMLYCURE DS,1-2 hrs before breakfast and dinner for liver ,,,,,,,,,,,,,
,Tomato,40gm,,Banana,140gm,,Strawberry,80gm,,Tomato,80gm,,,
,Yellow BP,40gm,,Almonds,12gm,,Blueberry,50gm,,Paneer,80gm,,,
,Egg Whole,2,,Cashew,12gm,,,,,Potato,100gm,,,
,Egg White,1,,Roasted Melon Seeds,8gm,,,,,Broccoli,80gm,,,
,Cheese slice,1,,,,,,,,Yellow BP,40gm,,,
,Tortilla Large,1,,,,,,,,White Rice,50gm,,,
,Butter,12gm,,,,,,,,Olive Oil,14gm,,,
,Ketchup,12gm,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 8,Egg Veg Bhurji,,,Paneer Salad Bowl,,,Banana Protein Shake,,,Chicken Veggie Fried Rice,,,,
,Masala 2,,,Paneer,100gm,,Whey Isolate,50gm,,Masala 1,,,,
,Egg whole,2,,Tomato,80gm,,Milk,1 glass,,Onion,80gm,,,
,Egg white ,2,,Cucumber,120gm,,Banana,120gm,,Tomato,80gm,,,
,Potato,80gm,,Corn,50gm,,Black Dates,50gm,,Chicken,150gm,,,
,Onion,80gm,,Onion,20gm,,,,,Cauliflower,100gm,,,
,Tomato,80gm,,Avocado,50gm,,,,,Carrot,80gm,,,
,Capsicum,40gm,,Lettuce,40gm,,,,,French Beans,50gm,,,
,Butter,14gm,,Lemon,,,,,,Matar,50gm,,,
,BB Toast,2,,Masala 2,,,,,,White Rice,50gm,,,
,,,,,,,,,,Olive Oil,14gm,,,
,,,,,,,,,,Hot & Sweet CS,12gm,,,
,,,,,,,,,,,,,,
Diet - 9,Paneer Bhurji + Besan Cheela,,,Mix Fruit Salad,,,Berry Shake,,,Chicken Potato Pasta,,,,
,Masala1,,,Red Apple,120gm,,Whey Isolate,50gm,,Masala 2,,,,
,Paneer,80gm,,Pear,120gm,,Milk ,1 glass,,Green Chilli,1,,,
,Tomato,50gm,,Cantaloupe,140gm,,Strawberry,80gm,,Onion,80gm,,,
,Onion,50gm,,Almonds,12gm,,Blueberry,50gm,,Tomato,80gm,,,
,Red BP,40gm,,Cashew,12gm,,,,,Boneless Chicken,120gm,,,
,Matar,40gm,,Walnuts,12gm,,,,,Potato,100gm,,,
,Butter,12gm,,,,,,,,Broccoli,100gm,,,
,Gram flour,60gm,,,,,,,,Carrot,80gm,,,
,Tomato Ketchup,12gm,,,,,,,,French Beans,80gm,,,
