Early Morning,2 glass Luke Warm Water,,,,,,,,,,,,,
Morning Supp.,"Ashwagandha (max 500 gm), Vitamin E (evion 400), Shilajeet (Max 500gm - upto 1000mg)",,,,,,,,,,,,,
Afternoon,Black Coffee,,,,,,,,,,,,1 glass Milk - 240 ml,
Post Dinner,"Sea Code Liver Oil, Vitamin D3 - upto 5000 lu",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Masala-1,"HImalayan Pink Salt (3gm), Ginger, Garlic, Green Chilli, Jeera, Turmeric, Dhaniya Powder, Kitchen King Masala",,,,,,,,,,,,,
Masala-2,"HImalayan Pink Salt (3gm), Oregano, Chilli flakes, Black Pepper (Chaat Masala)",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Breakfast,,,Lunch,,,Pre-workout,,,Dinner,,,,
Diet - 14,Mix Veg Omelet + BB,,,Paneer Stir Fry Wrap,,,Mango Shake,,,Chicken Broccoli Fried Rice,,,,
,Masala 2,,,Masala 2,,,Milk ,1 glass,,Masala1,,,,
,Egg Whole,2,,Paneer,100gm,,Mango,140gm,,Onion,80gm,,,
,Egg White,2,,Tomato,50gm,,Fresh Cream,40gm,,Tomato,80gm,,,
,Onion,50gm,,Onion,50gm,,Chia Seeds,8gm,,Boneless Chicken,200gm,,,
,Tomato,50gm,,Yellow BP,50gm,,,,,Broccoli,100gm,,,
,Red BP,50gm,,Corn,50gm,,,,,Red BP,50gm,,,
,Butter,14gm,,Large Tortilla,1,,,,,Carrot,80gm,,,
,Cheese Slice,2,,Butter,12gm,,,,,White Rice,50gm,,,
,BB Toast,3,,Ketchup,12gm,,,,,Olive Oil,12gm,,,
,Ketchup,12gm,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 15,Paneer Besan Cheela,,,Black Chickpea Chaat,,,Apple Shake,,,Aalo Bhindi + Roti,,,,
,Masala 1,,,Masala 2,,,Milk,1 glass,,Masala 1,,,,
,"HIng, Ajwain",,,Lemon,,,Red Apple,120gm,,Onion,80gm,,,
,Gram flour,60gm,,Boiled Black Chickpea (Boiled weight),100gm,,Black Dates,80gm,,Tomato,80gm,,,
,Onion,50gm,,Tomato,80gm,,Fresh Cream,40gm,,Potato,100gm,,,
,Tomato,50gm,,Cucumber,100gm,,,,,Bhindi,100gm,,,
,Paneer,100gm,,Corn,80gm,,,,,Capsicum,40gm,,,
,Capsicum,40gm,,Yellow BP,40gm,,,,,Desi Ghee,12gm,,,
,Olive Oil,12gm,,Butter,8gm,,,,,Wheat flour,40gm,,,
,Ketchup,12gm,,,,,,,,Ragi flour,20gm,,,
,,,,,,,,,,,,,,
Diet - 16,Mix Veg Omelet + Toast,,,Paneer Mix Veg Salad,,,Banana Shake,,,Gobi Green Moong Dal Curry Rice,,,,
,Masala 2,,,Masala 2,,,Banana,100gm,,Masala 1,,,,
,Onion,40gm,,Lemon,,,Milk,1 glass,,Onion,80gm,,,
,Tomato,40gm,,Onion,20gm,,Almonds,14gm,,Tomato,80gm,,,
,Red BP ,40gm,,Tomato,80gm,,Cashews,14gm,,Cauliflower,100gm,,,
,Egg whole,2,,Cucumber,120gm,,,,,Green Moong,45gm,,,
,Egg white,2,,Paneer,80gm,,,,,White Rice,50gm,,,
,Butter,12gm,,Corn,80gm,,,,,Mustard Oil,14gm,,,
,BB Toast,2,,Beetroot,40gm,,,,,,,,,
,Cheese Slice,1,,,,,,,,,,,,
,,,,,,,,,,,,,,
Diet - 17,Paneer stir Fry Tortilla,,,Peanut Butter Sandwich,,,,,,Egg Fried Rice,,,,
,Masala 2,,,BB Toast,4,,,,,Masala 1,,,,
,Onion,60gm,,Peanut Butter,70gm,,,,,Onion,80gm,,,
,Tomato,60gm,,Banana,80gm,,,,,Tomato,80gm,,,
,Capsicum,50gm,,Butter,8gm,,,,,Egg Whole,2,,,
,Paneer,80gm,,,,,,,,Egg White ,2,,,
,Corn,50gm,,,,,,,,Broccoli,80gm,,,
,Cheese Slice,1,,,,,,,,Carrot,80gm,,,
,Tortilla Large,1,,,,,,,,Red BP,50gm,,,
,Butter,12gm,,,,,,,,Yellow BP,50gm,,,
,Ketchup,12gm,,,,,,,,White Rice,45gm,,,
,,,,,,,,,,Hot and Sweet Chilli Sauce,12gm,,,
,,,,,,,,,,Olive oil,12gm,,,
